,d,d_rock,diff_settle l/s,diff_settle s/l,settlement [mm],station,x-sect_x,x-sect_y,x_station,y_station
3,45.6,21.2,9420.699755049542,0.00010614922733993247,-2.499421641799484,106+404,2612872.246967655,1268121.024153605,2612894,1268134
4,45.6,21.2,9275.399912152414,0.00010781206303458928,-3.0384819569724306,106+404,2612876.517574124,1268123.624522884,2612894,1268134
5,45.6,21.2,10031.286487621897,9.96881109151802e-05,-3.5369225115483314,106+404,2612880.788180593,1268126.224892163,2612894,1268134
6,45.6,21.2,12335.147727428275,8.106915475170297e-05,-3.9422682853068465,106+404,2612885.0587870623,1268128.825261442,2612894,1268134
7,45.6,21.2,18855.276976766152,5.303555080268616e-05,-4.207446039320277,106+404,2612889.329393531,1268131.4256307208,2612894,1268134
8,45.6,21.2,54171.90191221195,1.8459754313602388e-05,-4.299744810888289,106+404,2612893.6,1268134.0259999998,2612894,1268134
9,45.6,21.2,54171.90191221195,1.8459754313602388e-05,-4.207446039320277,106+404,2612897.870606469,1268136.6263692789,2612894,1268134
10,45.6,21.2,18855.276976766152,5.303555080268616e-05,-3.9422682853068465,106+404,2612902.141212938,1268139.2267385577,2612894,1268134
11,45.6,21.2,12335.147727428275,8.106915475170297e-05,-3.5369225115483314,106+404,2612906.4118194073,1268141.8271078367,2612894,1268134
12,45.6,21.2,10031.286487621897,9.96881109151802e-05,-3.0384819569724306,106+404,2612910.682425876,1268144.4274771158,2612894,1268134
13,45.6,21.2,9275.399912152414,0.00010781206303458928,-2.499421641799484,106+404,2612914.953032345,1268147.0278463946,2612894,1268134
14,45.6,21.2,9420.699755049542,0.00010614922733993247,-1.9686755050998217,106+404,2612919.223638814,1268149.6282156736,2612894,1268134
15,45.6,21.2,10332.691676183276,9.678020319768056e-05,-1.484774489111419,106+404,2612923.4942452833,1268152.2285849527,2612894,1268134
16,45.6,21.2,12120.677471986468,8.250363911680831e-05,-1.0722562935273774,106+404,2612927.764851752,1268154.8289542315,2612894,1268134
